# Словарь ChatTranslator. Данные: OpenRussian.org (https://en.openrussian.org),
# https://github.com/Badestrand/russian-dictionary — лицензия CC BY-SA 4.0
# (https://creativecommons.org/licenses/by-sa/4.0/). Изменения: отобраны частые
# слова (по wordfreq), оставлен один перевод, убраны ударения и неоднозначные
# формы, для игровых слов выбрано игровое значение. Этот файл распространяется
# на тех же условиях CC BY-SA 4.0. Собран скриптом tools/build_dictionary.py.
abacus	счёты
actual	фактический
actualities	актуальности
actuality	актуальность
actually	вообще-то
ad	объявление
adaptation	адаптация
adaptations	приспособления
addenda	дополнения
addendum	дополнение
adder	гадюка
adders	гадюки
addiction	зависимость
addictions	зависимости
addition	присоединение
additional	дополнительный
additions	присоединения
address	адрес
addresses	адреса
adequate	адекватный
adherence	приверженность
adherences	приверженности
adherent	приверженец
adherents	приверженцы
adhesion	присоединение
adhesions	присоединения
adjacent	смежный
adjective	прилагательный
adjournment	отсрочка
adjournments	отсрочки
adjustment	настройка
adjustments	настройки
adjutant	адъютант
adjutants	адъютанты
administration	управление
administrations	управления
administrative	административный
administrator	администратор
administrators	администраторы
admirably	удивительно
admiral	адмирал
admirals	адмиралы
admiration	восхищение
admirations	восхищения
admirer	поклонник
admirers	поклонники
admissible	допустимый
admission	пропуск
admissions	пропуска
admittance	доступ
admittances	доступы
admixture	примесь
admixtures	примеси
admonition	наставление
admonitions	наставления
adonis	красавец
adonises	красавцы
adoption	принятие
adoptions	принятия
adoptive	приёмный
adorable	приемлемый
adrenalin	адреналин
adrenalins	адреналины
ads	объявления
adult	взрослый
advance-guard	авангард
advancement	продвижение
advancements	продвижения
advantage	преимущество
advantageous	выгодно
advantages	преимущества
advent	пришествие
advents	пришествия
adventure	приключение
adventures	приключения
adverb	обстоятельство
adverbs	обстоятельства
adversaries	противники
adversary	противник
adversities	невзгоды
adversity	невзгода
advertisement	публикация
advertisements	публикации
advice	совет
advisable	желательно
adviser	советник
advisers	советники
advisory	консультативный
advocacies	проповеди
advocacy	проповедь
advocate	адвокат
advocates	адвокаты
aegis	эгида
aegises	эгиды
aerial	антенна
aerials	антенны
aerodrome	аэродром
aerodromes	аэродромы
aeroplane	самолёт
aeroplanes	самолёты
aerospace	воздушно-космический
aesthetic	эстетический
affable	доступный
affair	стычка
affairs	делишки
affairses	делишки
affection	поражение
affectionate	ласковый
affectionately	ласково
affections	поражения
affidavit	показание
affidavits	показания
affinities	*свойства
affinity	свойство
affirmation	утверждение
affirmations	утверждения
afghan	афганский
afoot	пешком
aforesaid	вышеуказанный
afresh	сначала
africa	африка
african	африканский
africans	африканцы
africas	Африки
after-effects	последствие
after-taste	привкус
afterglow	заря
afterglows	зори
afternoon	день
afternoons	дни
afterwards	потом
agate	агат
agates	агаты
age	возраст
age-old	старинный
agencies	агентства
agency	агентство
agenda	повестка
agendas	повестки
agent	агент
agents	агенты
ages	возрасты
agglomeration	агломерация
agglomerations	агломерации
aggravation	усиление
aggravations	усиления
aggregate	общий
aggregates	агрегаты
aggregation	агрегат
aggregations	агрегаты
aggression	агрессия
aggressions	агрессии
aggressive	агрессивный
aggressor	захватчик
aggressors	захватчики
agile	подвижной
aging	старение
agings	старения
agitation	волнение
agitations	волнения
ago	назад
agrarian	аграрный
agreeable	согласный
agreement	договор
agreements	договоры
agricultural	сельскохозяйственный
agriculture	земледелие
aha	ага
ahas	аги
ahead	вперёд
ahem	гм
aid	помощь
aide	адъютант
aide-de-camp	адъютант
aides	адъютанты
aids	помощи
ailment	недуг
ailments	недуги
aim	цель
aims	цели
air	воздух
air-base	авиабаза
air-bladder	пузырь
air-conditioner	кондиционер
air-cushion	подушка
air-defence	противовоздушный
air-liner	самолёт
air-route	авиалиния
aircraft	самолёт
aircrafts	самолёты
airfield	аэродром
airfields	аэродромы
airline	авиакомпания
airlines	авиакомпании
airplane	самолёт
airplanes	самолёты
airport	аэропорт
airports	аэропорты
airway	авиалиния
airways	авиалинии
airy	воздушный
aisle	проход
aisles	проходы
akin	сродни
alarm	тревога
alarms	тревоги
alas	увы
alaska	аляска
album	альбом
albums	альбомы
alchemies	алхимии
alchemist	алхимик
alchemists	алхимики
alchemy	алхимия
alcohol	алкоголь
alcoholic	алкогольный
alcoholics	алкоголики
alcoholism	алкоголизм
alcohols	спирты
ale	эль
alert	тревога
alerts	тревоги
ales	эли
algae	водоросль
algaes	водоросли
algebra	алгебра
algeria	алжир
algiers	алжир
algorithm	алгоритм
algorithms	алгоритмы
alias	кличка
aliases	клички
alibi	алиби
alien	пришелец
alienation	отчуждение
alienations	отчуждения
aliens	пришельцы
alignment	группировка
alignments	группировки
alike	равно
alimonies	алименты
alimony	алименты
alive	живой
alkaline	щелочной
all	всё
all-out	решительный
all-powerful	всемогущий
all-round	многоборье
all-russian	всероссийский
all-union	всесоюзный
allah	аллах
allegation	утверждение
allegations	утверждения
allergies	аллергии
allergy	аллергия
alley	переулок
alleys	переулки
alliance	альянс
alliances	альянсы
allies	союзники
allocation	ассигнование
allocations	ассигнования
allotment	раздел
allotments	разделы
allowance	пособие
allowances	пособия
alloy	сплав
alloys	сплавы
allusion	намёк
allusions	намёки
ally	союзник
almanac	альманах
almanacs	альманахи
almighty	всемогущий
almond-tree	миндаль
almonds	миндаль
almondses	миндали
almost	почти
alms	милостыня
almses	милостыни
alone	один
alones	одиночки
alongside	наряду
aloud	вслух
alpha	альфа
alphabet	азбука
alphabetical	алфавитный
alphabets	азбуки
alphas	альфы
altar	алтарь
altars	алтари
alteration	изменение
alterations	изменения
alternately	попеременно
alternation	чередование
alternations	чередования
alternative	выбор
alternatives	выборы
altitude	высота
altitudes	высоты
altogether	итого
aluminium	алюминий
aluminum	алюминий
alumni	воспитанник
alumnis	воспитанники
always	всегда
alwayses	века
amalgamation	объединение
amalgamations	объединения
amateur	любитель
amateurs	любителя
amazement	удивление
amazements	удивления
amazingly	изумительно
amazon	амазонка
amazons	амазонки
ambassador	посол
ambassadors	послы
amber	янтарь
ambers	янтари
ambition	амбиция
ambitions	амбиции
ambitious	амбициозный
ambulance	скорая
ambulances	скорые
ambush	засада
ambushes	засады
amendment	поправка
amendments	поправки
america	америка
american	американский
americans	американцы
americas	Америки
amiable	любезный
amicable	дружественный
amicably	дружно
amid	средь
amidst	среди
amities	дружбы
amity	дружба
ammonia	аммиак
ammonias	аммиакы
ammonium	аммоний
ammoniums	аммонии
ammunition	боеприпасы
ammunitions	боеприпасы
amnesties	амнистии
amnesty	амнистия
amongst	среди
amorous	влюблённый
amount	количество
amounts	количества
amplification	усиление
amplifications	усиления
amplifier	усилитель
amplifiers	усилители
amplitude	амплитуда
amplitudes	амплитуды
amulet	амулет
amulets	амулеты
amusement	забава
amusements	забавы
anaemia	анемия
anaesthesia	анестезия
anaesthesias	анестезии
anaesthetic	обезболивающий
anaesthetics	наркозы
anal	анальный
analogies	аналогии
analogous	аналогичный
analogue	аналог
analogues	аналоги
analogy	аналогия
analyses	анализы
analysis	анализ
analyst	аналитик
analysts	аналитики
analytic	аналитический
anarchist	анархист
anarchists	анархисты
anarchy	анархия
anatomy	анатомия
ancestor	предок
ancestors	предки
ancestorses	прадеды
ancestral	родовой
anchor	якорь
anchors	якоря
ancient	древний
ancients	древние
ancientses	древние
anecdote	анекдот
anecdotes	анекдоты
anew	вновь
angel	ангел
angels	ангелы
anger	гнев
angers	гневы
angle	угол
angles	углы
anglo-american	англо-американский
angrily	злобно
angry	злой
anguish	тоска
anguishes	пытки
angular	угловой
animal	животное
animals	животные
animalses	животы
animation	анимация
animations	увлечения
animosities	враждебности
animosity	вражда
ankle	лодыжка
ankles	лодыжки
annals	летопись
annalses	летописи
annexation	аннексия
annexations	аннексии
annihilation	уничтожение
annihilations	уничтожения
anniversaries	юбилеи
anniversary	юбилей
annotation	аннотация
annotations	аннотации
announcement	анонс
announcements	анонсы
announcer	диктор
announcers	дикторы
annoyance	неприятность
annoyances	неприятности
annual	годовой
annually	ежегодно
annuals	ежегодники
annular	кольцевой
annunciation	благовещение
annunciations	благовещения
anomalies	аномалии
anomalous	аномальный
anomaly	аномалия
anonymous	анонимный
ant	муравей
antagonist	противник
antagonists	противники
antenna	ус
antennas	усы
anthem	гимн
anthems	гимны
anthologies	антологии
anthology	антология
anthropology	антропология
anti-aircraft	противовоздушный
anti-mechanized	противотанковый
anti-missile	противоракетный
anti-semitism	антисемитизм
anti-tank	противотанковый
antibiotics	антибиотики
antibioticses	антибиотики
antibodies	антитела
antibody	антитело
anticipation	предвкушение
anticipations	предвкушения
antique	старинный
antiques	старины
antiquities	древности
antiquitieses	древности
antiquity	древность
antitheses	противоположности
antithesis	противоположность
antler	рог
antlers	рога
ants	муравьи
anxieties	заботы
anxiety	беспокойство
anxious	тревожно
anybody	кто-нибудь
anyhow	как-нибудь
anyone	кто-нибудь
anything	что-нибудь
anywhere	где-то
aorta	аорта
aortae	аорты
apart	порознь
apartment	квартира
apartments	квартиры
ape	обезьяна
aperture	отверстие
apertures	отверстия
apes	обезьяны
apex	вершина
apices	вершины
apocalypse	апокалипсис
apocalypses	апокалипсисы
apogee	апогей
apogees	апогеи
apologies	извинения
apology	извинение
apostle	апостол
apostles	апостолы
apparatus	аппаратура
apparatuses	аппаратуры
apparel	наряд
apparels	наряды
apparent	видимый
apparently	видимо
apparition	появление
apparitions	появления
appearance	вид
appearances	виды
appellation	название
appellations	названия
appendices	добавления
appendix	добавление
appetite	аппетит
appetizer	закуска
appetizers	закуски
applause	аплодисменты
applauses	аплодисменты
apple	яблоко
apple-tree	яблоня
apples	яблоки
appliance	приспособление
appliances	приспособления
applicant	кандидат
applicants	кандидаты
application	применение
applications	применения
appointment	должность
appointments	должности
appointmentses	убранства
appreciable	заметный
apprehension	опасение
apprehensions	опасения
apprentice	мальчик
apprentices	мальчики
apprenticeship	учение
apprenticeships	учения
approachable	доступный
appropriately	уместно
appropriateness	закономерность
appropriatenesses	закономерности
appropriation	присвоение
appropriations	присвоения
approval	санкция
approvals	санкции
approximately	приблизительно
approximation	приближение
approximations	приближения
april	апрель
apron	фартук
aprons	фартуки
aptitude	способность
aptitudes	способности
aptly	уместно
aquarium	аквариум
aquariums	аквариумы
aquarius	водолей
aquariuses	водолеи
aquatic	водяной
aqueous	водный
arab	арабский
arabian	арабский
arabians	арабы
arabic	арабский
arabs	арабы
arbiter	арбитр
arbiters	арбитры
arbitrarily	произвольно
arbitrary	произвольный
arbitration	арбитраж
arbitrations	арбитражи
arbitrator	арбитр
arbitrators	арбитры
arc	дуга
arcade	пассаж
arcades	пассажи
arch	свод
archaeological	археологический
archaeologist	археолог
archaeologists	археологи
archaeology	археология
archangel	архангел
archangels	архангелы
archbishop	архиепископ
archbishops	архиепископы
arches	своды
archetype	образец
archetypes	образцы
archipelago	архипелаг
archipelagoes	архипелаги
architect	архитектор
architects	архитекторы
architectural	архитектурный
architecture	архитектура
architectures	зодчества
archives	архив
archiveses	архивы
arcs	дуги
arctic	полярный
ardent	ярый
arduous	трудный
area	область
areas	области
arena	арена
arenas	арены
argentina	Аргентина
argentine	аргентинский
arguable	спорный
argument	спор
argumentation	спор
argumentations	споры
arguments	споры
arid	сухой
aristocrat	аристократ
aristocrats	аристократы
arithmetic	арифметика
arithmetics	арифметики
ark	ковчег
arks	ковчеги
arm	крыло
armament	вооружение
armaments	вооружения
armature	якорь
armatures	якоря
armchair	кресло
armchairs	кресла
armenian	армянин
armenians	армяне
armies	армии
armistice	перемирие
armor	броня
armour	броня
armour-plating	броня
armoured	танковый
armouries	арсеналы
armoury	арсенал
arms	крылья
army	армия
aroma	аромат
aromas	ароматы
arrangement	установка
arrangements	установки
array	порядок
arrays	порядки
arrears	хвост
arrearses	хвосты
arrival	наступление
arrivals	наступления
arrow	стрела
arrows	стрелы
arsenal	арсенал
arsenals	арсеналы
arson	поджог
arsons	поджоги
art	искусство
arterial	артериальный
arteries	артерии
artery	артерия
artful	хитрый
article	статья
articles	статьи
articulation	сустав
articulations	суставы
artificial	искусственный
artificially	искусственно
artillery	артиллерия
artisan	ремесленник
artisans	ремесленники
artist	художник
artiste	артистка
artistes	артистки
artistic	художественный
artistically	художественно
artists	художники
arts	искусства
ascendancies	влияния
ascendancy	влияние
ascent	восхождение
ascents	восхождения
ash	пепел
ash-tree	ясень
ashes	пеплы
asia	Азия
asian	азиатский
asians	азиаты
asiatic	азиатский
askew	косо
aspect	вид
aspects	виды
asphalt	асфальт
asphalts	асфальты
aspirant	претендент
aspirants	претенденты
aspiration	стремление
aspirations	стремления
aspirationses	требования
aspirin	аспирин
ass	жопа
assassination	убийство
assassinations	убийства
assault	штурм
assaults	штурмы
assay	проба
assays	пробы
assemblage	сборище
assemblages	сборища
assemblies	ассамблеи
assembly	ассамблея
assertion	утверждение
assertions	утверждения
asses	жопы
assessment	распределение
assessments	распределения
assessor	заседатель
assessors	заседатели
asset	достояние
assets	актив
assetses	активы
assignment	предоставление
assignments	предоставления
assimilation	ассимиляция
assimilations	ассимиляции
assistance	помощь
assistances	помощи
assistant	помощник
assistants	помощники
association	ассоциация
associations	ассоциации
assortment	ассортимент
assortments	ассортименты
assumption	предположение
assumptions	предположения
assuredly	бесспорно
aster	астра
asterisk	звёздочка
asterisks	звёздочки
asteroid	астероид
asteroids	астероиды
asters	астры
asthma	астма
asthmas	астмы
astonishingly	удивительно
astonishment	удивление
astonishments	удивления
astride	верхом
astrology	астрология
astronaut	астронавт
astronauts	астронавты
astronomer	астроном
astronomers	астрономы
astronomy	астрономия
astute	тонкий
asylum	убежище
asylums	убежища
atelier	ателье
atheism	атеизм
atheisms	атеизмы
atheist	атеист
atheists	атеисты
athlete	атлет
athletes	атлеты
athletic	спортивный
athletics	атлетика
atlantic	атлантический
atlas	атлас
atm	банкомат
atmosphere	атмосфера
atmospheres	атмосферы
atmospheric	атмосферный
atms	банкоматы
atom	атом
atomic	атомный
atoms	атомы
atonement	расплата
atonements	расплаты
atrocities	зверство
atrocitieses	зверства
attachment	привязанность
attachments	привязанности
attacker	атакующий
attainment	достижение
attainments	достижения
attendance	посещаемость
attendances	посещаемости
attendant	сопутствующий
attendants	служители
attention	внимание
attentions	внимания
attentive	внимательный
attentively	внимательно
attestation	аттестация
attestations	аттестации
attic	чердак
attics	чердаки
attire	убор
attires	уборы
attitude	положение
attitudes	положения
attorney	поверенный
attraction	привлечение
attractions	привлечения
attractive	привлекательный
attractiveness	привлекательность
attractivenesses	привлекательности
auction	аукцион
auctions	аукционы
audacious	смелый
audacities	дерзости
audacity	смелость
audible	слышный
audibly	слышно
audience	зритель
audiences	зрители
audition	слушание
auditions	слушания
auditories	слушатели
auditory	слуховой
augmentation	увеличение
augmentations	увеличения
august	август
augusts	августы
aunt	тётя
aunties	тёти
aunts	тёти
aunty	тётя
aura	аура
auras	ауры
aurora	аврора
auroras	авроры
auspicious	благоприятный
austere	строгий
austerities	строгости
austerity	строгость
australia	Австралия
australian	австралийский
australians	австралийцы
austrian	австрийский
austrians	австрийцы
authentic	подлинный
authenticities	подлинности
authenticity	подлинность
author	автор
authoritative	авторитетный
authorities	полномочия
authoritieses	начальства
authority	полномочие
authorization	разрешение
authorizations	разрешения
authors	авторы
authorship	авторство
authorships	авторства
autobiographies	автобиографии
autobiography	автобиография
autograph	автограф
autographs	автографы
automatic	автоматический
automatically	автоматически
automation	автоматизация
automations	автоматизации
automaton	автомат
automatons	автоматы
automobile	автомобиль
automobiles	автомобили
autonomies	автономии
autonomous	автономный
autonomy	автономия
autumn	осень
autumnal	осенний
autumns	осени
auxiliary	вспомогательный
availabilities	наличия
availability	наличие
available	имеющийся
avalanche	лавина
avalanches	лавины
avarice	жадность
avenger	мститель
avengers	мстители
avenue	проспект
avenues	проспекты
average	средний
aversion	отвращение
aversions	отвращения
avian	птичий
aviation	авиация
aviations	авиации
avid	жадный
avoidance	избежание
avoidances	избежания
awake	пробуждение
awakes	пробуждения
award	диплом
awards	дипломы
awareness	сознание
awarenesses	сознания
away	прочь
awe-inspiring	жуткий
awesome	офигенный
awful	адский
awfullies	ужасы
awfully	страшно
awkward	неудобный
awkwardly	неловко
awkwardness	неловкость
awkwardnesses	неловкости
awning	зонтик
awnings	зонтики
awry	криво
axe	топор
axes	топоры
axiom	аксиома
axioms	аксиомы
axis	ось
axle	ось
az	аз
azerbaijan	азербайджанский
azes	азы
azure	лазурный
baba	баба
babas	бабы
babe	штучка
babes	штучки
babies	младенцы
baby	младенец
babysitter	няня
babysitters	няни
bachelor	холостяк
bachelors	холостяки
bacilli	палочки
bacillus	палочка
back	обратно
backbone	хребет
backbones	хребты
background	фон
backgrounds	фоны
backing	поддержка
backings	поддержки
backpack	рюкзак
backpacks	рюкзаки
backs	спины
backward	задом
backwards	обратно
bacon	бекон
bacteria	бактерии
bacterium	бактерия
bad	плохо
badass	крутой
badge	значок
badger	барсук
badgers	барсуки
badges	значки
badly	сильно
bag	пакет
baggage	багаж
bags	пакеты
bai	бай
bais	баи
bait	приманка
baits	приманки
baker	хлебник
bakeries	пекарни
bakers	хлебники
bakery	пекарня
balance	баланс
balance-sheet	баланс
balances	балансы
balconies	балконы
balcony	балкон
bald	лысый
bald-headed	лысый
bale	бунт
bales	бунты
balkan	балканский
ball	мяч
ballad	дума
ballads	думы
ballerina	балерина
ballerinas	балерины
ballet	балет
ballet-dancer	балерина
ballets	балеты
ballistic	баллистический
ballon	шар
ballons	шары
ballot-box	урна
ballot-paper	бюллетень
ballpoint	ручка
ballpoints	ручки
balls	мячи
balm	бальзам
balms	бальзамы
balsam	бальзам
balsams	бальзамы
baltic	балтийский
banal	банальный
banana	банан
bananas	бананы
band	банда
band-master	дирижёр
bandage	повязка
bandages	повязки
bandit	бандит
bandits	бандиты
bands	банды
bandstand	раковина
bandstands	раковины
bangle	браслет
bangles	браслеты
banishment	изгнание
banishments	изгнания
bank	банк
banker	банкир
bankers	банкиры
bankrupt	банкрот
bankruptcies	банкротства
bankruptcy	банкротство
bankrupts	банкроты
banks	банки
banner	знамя
banner-headline	аншлаг
banners	знамёна
banquet	банкет
banquets	банкеты
baptism	крещение
baptisms	крещения
bar	бар
barbarian	варвар
barbarians	варвары
barbarous	дикий
barber	парикмахер
barbers	парикмахеры
bard	бард
bards	барды
barefoot	босиком
barely	едва
barge-pole	шест
barley	ячмень
barleys	ячмени
barman	бармен
barmen	бармены
barn	амбар
barns	амбары
baron	барон
baroness	баронесса
baronesses	баронессы
barons	бароны
baroque	барокко
barrack	барак
barracks	казарма
barrackses	казармы
barrel	баррель
barrels	баррели
barricade	баррикада
barricades	баррикады
barrier	барьер
barriers	барьеры
barrister	адвокат
barristers	адвокаты
barrow	курган
barrows	курганы
bars	бары
barter	обмен
barters	обмены
base	база
baseball	бейсбол
baseballs	бейсболы
basement	подвал
basements	подвалы
bases	базы
basic	базовый
basin	таз
basins	тазы
basis	начало
basket	кузов
basketball	баскетбол
basketball-player	баскетболист
baskets	кузова
bass	бас
bastard	сволочь
bastards	сволочи
bastion	бастион
bastions	бастионы
bat	бита
batch	пачка
batches	пачки
bath	ванна
bath-house	баня
bathrobe	халат
bathrobes	халаты
bathroom	ванная
bathrooms	ванные
baths	ванны
bathtub	ванна
bathtubs	ванны
baton	жезл
batons	жезлы
bats	биты
battalion	батальон
battalions	батальоны
batteries	батареи
battering-ram	таран
battery	батарея
battle	битва
battle-front	фронт
battles	битвы
bay	залив
bayonet	штык
bayonets	штыки
bays	заливы
bazaar	базар
bazaars	базары
beach	пляж
beaches	пляжи
beacon	маяк
beacons	маяки
bead	шарик
beads	шарики
beak	нос
beaker	кубок
beakers	кубки
beaks	носы
beam	балка
beams	балки
bean	боб
beans	бобы
beanses	бобы
bear-cub	медвежонок
bearer	проводник
bearers	проводники
bearing-out	вынос
beast	животное
beasts	животные
beastses	*зверья
beating	бой
beatings	бои
beauties	красоты
beautiful	красивый
beautifully	красиво
beauty	красота
bed	кровать
bed-bug	клоп
bed-chair	кресло-кровать
bed-pan	судно
bed-sheet	простыня
bed-sitter	квартира
bedroom	спальня
bedrooms	спальни
beds	кровати
bedside-table	тумбочка
bee	пчела
beef	говядина
beer	пиво
beers	пива
bees	пчёлы
beeswax	воск
beet	свёкла
beetle	жук
beetles	жуки
beetroot	свёкла
beetroots	свёклы
beets	свёклы
beforehand	заранее
beggar	нищий
beggars	нищие
beginner	новичок
beginners	новички
beginning	начало
beginnings	начала
beginningses	возникновения
behavior	поведение
behaviors	поведения
behest	завет
behests	заветы
beijing	Пекин
belarus	белоруссия
belfries	колокольни
belfry	колокольня
belgian	бельгийский
belgium	бельгия
belgiums	Бельгии
belief	убеждение
beliefs	убеждения
believers	верующий
bell	колокол
bellies	брюхи
belligerent	воюющий
bells	колокола
belly	брюхо
belongings	вещь
belongingses	вещи
beloved	лада
beloveds	лады
belt	пояс
belts	пояса
bench	суд
benches	суды
bend	изгиб
bends	изгибы
benefit	польза
benefits	пользы
bent	влечение
bents	влечения
benz	мерседес
berlin	Берлин
berries	ягоды
berry	ягода
berth	койка
berths	койки
beside	рядом
besides	помимо
best	лучший
bet	пари
beta	бета
betas	беты
betrayal	предательство
betrayals	предательства
bets	ставки
better	лучше
beverage	напиток
beverages	напитки
bewilderment	недоумение
bewilderments	недоумения
bias	расположение
biases	расположения
biathlon	биатлон
bible	библия
bibles	библии
biblical	библейский
bibliographic	библиографический
bibliography	библиография
bicycle	велосипед
bicycles	велосипеды
biennial	двухлетний
big	большой
bigger	больше
biggest	крупнейший
bike	велосипед
bikes	велосипеды
bikini	бикини
bilateral	двусторонний
bilge	днище
bilges	днища
bill	счёт
billiard-scorer	маркёр
billiard-table	бильярд
billiards	бильярд
billion	млрд
billionaire	миллиардер
billionaires	миллиардеры
billions	миллиарды
bills	счета
billy-goat	козёл
bin	ларь
binocular	бинокль
binoculars	бинокли
bins	лари
biochemistries	биохимии
biochemistry	биохимия
biographies	биографии
biography	биография
biological	биологический
biologies	биологии
biologist	биолог
biologists	биологи
biology	биология
birch	берёза
birches	берёзы
bird	птица
birds	птицы
birth	рождение
birthday	др
birthdays	рождения
birthplace	родина
birthplaces	родины
births	рождения
bishop	епископ
bishops	епископы
bitch	сука
bitches	суки
bitter	горький
bitterly	горько
bitterness	горечь
black	чёрный
black-and-white	чёрно-белый
black-beetle	таракан
black-skinned	чернокожий
blacksmith	коваль
blacksmiths	ковали
bladder	камера
bladders	камеры
blade	клинок
blades	клинки
blameless	безупречный
blank	пробел
blanket	одеяло
blankets	одеяла
blanks	пробелы
blast-furnace	домна
blaze	пламя
blazes	пламена
bleak	мрачно
bleeding	кровотечение
bleedings	кровотечения
blemish	пятно
blemishes	пятна
blend	смесь
blends	смеси
blessing	благословение
blessings	благословения
blind	слепой
blindfold	слепо
blindly	слепо
blinds	шторы
bliss	блаженство
blisses	блаженства
blissful	блаженный
blister	пузырь
blisters	пузыри
bloc	блок
blockage	завал
blockages	завалы
blocs	блоки
blog	блог
blogs	блоги
bloke	парень
blokes	парни
blonde	блондинка
blondes	блондинки
blood	кровь
blood-donor	донор
blood-red	кровавый
blood-stained	кровавый
bloods	крови
bloodshed	кровопролитие
bloodsheds	кровопролития
bloody	кровавый
bloom	расцвет
blooms	расцветы
blossom	цветок
blossoms	цветы
blot	пятно
blots	пятна
blow	удар
blows	удары
blue	синий
bluebell	колокольчик
bluebells	колокольчики
blues	блюз
blueses	блюзы
bluff	блеф
bluish	сизый
blunder	ошибка
blunders	ошибки
blunt	тупой
bluntly	прямо
blush	краска
blushes	краски
boar	свинья
board	доска
boarding-house	пансион
boarding-school	пансион
boards	доски
boars	свиньи
boat	лодка
boatman	перевозчик
boatmen	перевозчики
boats	лодки
bobbin	катушка
bobbins	катушки
bodies	тела
bodieses	аппараты
body	тело
body-guard	телохранитель
boer	бур
boers	буры
bog	болото
bogs	болота
boiler	куб
boiler-house	котельная
boiler-room	котельная
boilers	кубы
bold	смелый
boldly	смело
boldness	смелость
boldnesses	куражи
boll	коробочка
bolls	коробочки
bolshevik	большевик
bolsheviks	большевики
bolster	подушка
bolsters	подушки
bolt	болт
bolts	болты
bomb	бомба
bombardier	бомбардир
bombardiers	бомбардиры
bombardment	бомбардировка
bombardments	бомбардировки
bombastic	громкий
bomber	бомбардировщик
bombers	бомбардировщики
bombing	бомбёжка
bombings	бомбёжки
bombs	бомбы
bon-bon	конфета
bond	связь
bondage	рабство
bondages	рабства
bonds	связи
bone	кость
bones	кости
bonfire	костёр
bonfires	костры
bong	дон
bongs	доны
bonnet	шляпа
bonnets	шляпы
bonus	премия
bonuses	премии
boob	сиська
