# Словарь ChatTranslator. Данные: OpenRussian.org (https://en.openrussian.org),
# https://github.com/Badestrand/russian-dictionary — лицензия CC BY-SA 4.0
# (https://creativecommons.org/licenses/by-sa/4.0/). Изменения: отобраны частые
# слова (по wordfreq), оставлен один перевод, убраны ударения и неоднозначные
# формы, для игровых слов выбрано игровое значение. Этот файл распространяется
# на тех же условиях CC BY-SA 4.0. Собран скриптом tools/build_dictionary.py.
(абсолютною)	absolute
военно-экономическое	strategic
военно-экономической	strategic
военно-экономическом	strategic
военно-экономическому	strategic
военно-экономическую	strategic
военного	military
военное	military
военной	military
военном	military
военному	military
военнослужащий	serviceman
военную	military
военны	military
военные	military
военный	military
военным	military
военными	military
военных	military
вожак	leader
вожака	leader
вожакам	leaders
вожаками	leaders
вожаках	leaders
вожаке	leader
вожаки	leaders
вожаков	leaders
вожаком	leader
вожаку	leader
вожде	leader
вождей	leaders
вождем	leader
вождение	driving
вождением	driving
вождении	driving
вождений	drivings
вождению	driving
вождения	driving
вождениям	drivings
вождениями	drivings
вождениях	drivings
вожди	leaders
вождь	leader
вождю	leader
вождя	leader
вождям	leaders
вождями	leaders
вождях	leaders
воз	cart
воза	cart
возам	carts
возами	carts
возах	carts
возбуди	excite
возбудите	excite
возбудителе	stimulus
возбудителей	stimuli
возбудителем	stimulus
возбудители	stimuli
возбудитель	stimulus
возбудителю	stimulus
возбудителя	stimulus
возбудителям	stimuli
возбудителями	stimuli
возбудителях	stimuli
возбудить	excite
возбуждай	excite
возбуждайте	excite
возбуждать	excite
возбужден	excited
возбуждена	excited
возбуждение	excitation
возбуждением	excitation
возбуждении	excitation
возбуждений	excitations
возбуждению	excitation
возбуждения	excitation
возбуждениям	excitations
возбуждениями	excitations
возбуждениях	excitations
возбужденная	excited
возбужденнее	more excited
возбужденного	excited
возбужденное	excited
возбужденной	excited
возбужденном	excited
возбужденному	excited
возбужденною	excited
возбужденную	excited
возбужденные	excited
возбужденный	excited
возбужденным	excited
возбужденными	excited
возбужденных	excited
возбуждено	excited
возбуждены	excited
возведение	erection
возведением	erection
возведении	erection
возведений	erections
возведению	erection
возведения	erection
возведениям	erections
возведениями	erections
возведениях	erections
возведи	erect
возведите	erect
возводи	erect
возводите	erect
возводить	erect
возврат	return
возврата	return
возвратам	returns
возвратами	returns
возвратах	returns
возврате	return
возврати	return
возвратись	return
возвратите	return
возвратитесь	return
возвратить	return
возвратиться	return
возвратов	returns
возвратом	return
возврату	return
возвраты	returns
возвращай	return
возвращайся	return
возвращайте	return
возвращайтесь	return
возвращать	return
возвращаться	return
возвращение	return
возвращением	return
возвращении	return
возвращений	returns
возвращению	return
возвращения	return
возвращениям	returns
возвращениями	returns
возвращениях	returns
возвышайся	rise
возвышайтесь	rise
возвышаться	rise
возвышение	rise
возвышением	rise
возвышении	rise
возвышений	rises
возвышению	rise
возвышения	rise
возвышениям	rises
возвышениями	rises
возвышениях	rises
возвышенностей	heights
возвышенности	height
возвышенность	height
возвышенностью	height
возвышенностям	heights
возвышенностями	heights
возвышенностях	heights
возглавить	place oneself at the head
возглавляй	place oneself at the head
возглавляйте	place oneself at the head
возглавлять	place oneself at the head
возглавь	place oneself at the head
возглавьте	place oneself at the head
возглас	exclamation
возгласа	exclamation
возгласам	exclamations
возгласами	exclamations
возгласах	exclamations
возгласе	exclamation
возгласов	exclamations
возгласом	exclamation
возгласу	exclamation
возгласы	exclamations
возгорание	fire
возгоранием	fire
возгорании	fire
возгораний	fires
возгоранию	fire
возгорания	fire
возгораниям	fires
возгораниями	fires
возгораниях	fires
воздействие	influence
воздействием	influence
воздействии	influence
воздействий	influences
воздействию	influence
воздействия	influence
воздействиям	influences
воздействиями	influences
воздействиях	influences
воздействовать	influence
воздействуй	influence
воздействуйте	influence
воздержание	abstention
воздержанием	abstention
воздержании	abstention
воздержаний	abstentions
воздержанию	abstention
воздержания	abstention
воздержаниям	abstentions
воздержаниями	abstentions
воздержаниях	abstentions
воздержаться	abstain
воздерживайся	abstain
воздерживайтесь	abstain
воздерживаться	abstain
воздержись	abstain
воздержитесь	abstain
воздух	air
воздуха	air
воздухе	air
воздухом	air
воздуху	air
воздушен	air
воздушна	air
воздушная	air
воздушно-космический	aerospace
воздушного	air
воздушное	air
воздушной	air
воздушном	air
воздушному	air
воздушную	air
воздушны	air
воздушные	air
воздушный	air
воздушным	air
воздушными	air
воздушных	air
возе	cart
воззрение	view
воззрением	view
воззрении	view
воззрений	views
воззрению	view
воззрения	view
воззрениям	views
воззрениями	views
воззрениях	views
вози	transport
возись	mess around
возите	transport
возитесь	mess around
возить	transport
возиться	mess around
возлагай	lay
возлагайте	lay
возлагать	lay
возле	near
возложи	lay
возложите	lay
возложить	lay
возлюбленное	beloved
возлюбленной	beloved
возлюбленную	beloved
возмездие	retribution
возмездием	retribution
возмездии	retribution
возмездий	retributions
возмездию	retribution
возмездия	retribution
возмездиям	retributions
возмездиями	retributions
возмездиях	retributions
возмести	compensate
возместите	compensate
возместить	compensate
возмещение	compensation
возмещением	compensation
возмещении	compensation
возмещений	compensations
возмещению	compensation
возмещения	compensation
возмещениям	compensations
возмещениями	compensations
возмещениях	compensations
возможен	possible
возможна	possible
возможная	possible
возможно	possible
возможного	possible
возможное	possible
возможной	possible
возможном	possible
возможному	possible
возможностей	possibilities
возможности	possibility
возможность	possibility
возможностью	possibility
возможностям	possibilities
возможностями	possibilities
возможностях	possibilities
возможную	possible
возможны	possible
возможные	possible
возможный	possible
возможным	possible
возможными	possible
возможных	possible
возмутись	outrage
возмутитесь	outrage
возмутиться	outrage
возмущай	revolt
возмущайся	be indignant
возмущайте	revolt
возмущайтесь	be indignant
возмущать	revolt
возмущаться	be indignant
возмущение	indignation
возмущением	indignation
возмущении	indignation
возмущений	indignations
возмущению	indignation
возмущения	indignation
возмущениям	indignations
возмущениями	indignations
возмущениях	indignations
вознаграждение	reward
вознаграждением	reward
вознаграждении	reward
вознаграждений	rewards
вознаграждению	reward
вознаграждения	reward
вознаграждениям	rewards
вознаграждениями	rewards
вознаграждениях	rewards
возникай	occur
возникайте	occur
возникать	occur
возникни	arise
возникните	arise
возникновение	origin
возникновением	origin
возникновении	origin
возникновений	origins
возникновению	origin
возникновения	origin
возникновениям	origins
возникновениями	origins
возникновениях	origins
возникнуть	arise
возобнови	renew
возобновите	renew
возобновить	renew
возобновление	renewal
возобновлением	renewal
возобновлении	renewal
возобновлений	renewals
возобновлению	renewal
возобновления	renewal
возобновлениям	renewals
возобновлениями	renewals
возобновлениях	renewals
возобновляйся	recommence
возобновляйтесь	recommence
возобновляться	recommence
возов	carts
возом	cart
возражай	object
возражайте	object
возражать	object
возражение	objection
возражением	objection
возражении	objection
возражений	objections
возражению	objection
возражения	objection
возражениям	objections
возражениями	objections
возражениях	objections
возрази	object
возразите	object
возразить	object
возраст	age
возраста	age
возрастай	grow
возрастайте	grow
возрастам	ages
возрастами	ages
возрастать	grow
возрастах	ages
возрасте	age
возрасти	grow
возрастов	ages
возрастом	age
возрасту	age
возрасты	ages
возроди	revive
возродите	revive
возродить	revive
возрождайся	revive
возрождайтесь	revive
возрождаться	revive
возрождение	renaissance
возрости	grow
возростите	grow
возу	cart
возы	carts
возьми	take
возьмись	undertake
возьмите	take
возьмитесь	undertake
воин	fighting man
воина	fighting man
воинам	fighting man
воинами	fighting man
воинах	fighting man
воине	fighting man
воинов	fighting man
воином	fighting man
воинская	military
воински	military
воинские	military
воинский	military
воинским	military
воинскими	military
воинских	military
воинского	military
воинское	military
воинской	military
воинском	military
воинскому	military
воинскою	military
воинскую	military
воину	fighting man
воины	fighting man
воистину	truly
вой	howl
войди	enter
войдите	enter
войн	wars
война	war
войнам	wars
войнами	wars
войнах	wars
войне	war
войной	war
войною	war
войну	war
войны	war
войск	armies
войскам	armies
войсками	armies
войсках	armies
войске	army
войско	army
войсковой	army
войском	army
войску	army
войте	howl
войти	enter
вокален	vocal
вокалист	vocalist
вокалиста	vocalist
вокалистам	vocalists
вокалистами	vocalists
вокалистах	vocalists
вокалисте	vocalist
вокалистов	vocalists
вокалистом	vocalist
вокалисту	vocalist
вокалисты	vocalists
вокальна	vocal
вокальная	vocal
вокально	vocal
вокального	vocal
вокальное	vocal
вокальной	vocal
вокальном	vocal
вокальному	vocal
вокальною	vocal
вокальную	vocal
вокальны	vocal
вокальные	vocal
вокальный	vocal
вокальным	vocal
вокальными	vocal
вокальных	vocal
вокзал	station building
вокзала	station building
вокзалам	station building
вокзалами	station building
вокзалах	station building
вокзале	station building
вокзалов	station building
вокзалом	station building
вокзалу	station building
вокзалы	station building
вокруг	around
вол	ox
вола	ox
волам	oxes
волами	oxes
волах	oxes
волг	Volga river
волга	Volga river
волгам	Volga river
волгами	Volga river
волгах	Volga river
волге	Volga river
волги	Volga river
волгой	Volga river
волгою	Volga river
волгу	Volga river
воле	will
волевая	volitional
волевого	volitional
волевое	volitional
волевой	volitional
волевом	volitional
волевому	volitional
волевую	volitional
волевые	volitional
волевым	volitional
волевыми	volitional
волевых	volitional
волей	will
волейбол	volley-ball
волейбола	volley-ball
волейболе	volley-ball
волейболист	volley-baller
волейболиста	volley-baller
волейболистам	volley-baller
волейболистами	volley-baller
волейболистах	volley-baller
волейболисте	volley-baller
волейболистка	volley-baller
волейболисткам	volley-baller
волейболистками	volley-baller
волейболистках	volley-baller
волейболистке	volley-baller
волейболистки	volley-baller
волейболисткой	volley-baller
волейболисткою	volley-baller
волейболистку	volley-baller
волейболистов	volley-baller
волейболисток	volley-baller
волейболистом	volley-baller
волейболисту	volley-baller
волейболисты	volley-baller
волейболом	volley-ball
волейболу	volley-ball
волен	free
волею	will
волжская	Volga
волжски	Volga
волжские	Volga
волжский	Volga
волжским	Volga
волжскими	Volga
волжских	Volga
волжского	Volga
волжское	Volga
волжской	Volga
волжском	Volga
волжскому	Volga
волжскою	Volga
волжскую	Volga
воли	will
волк	wolf
волк-машин	willows
волк-машина	willow
волк-машинам	willows
волк-машинами	willows
волк-машинах	willows
волк-машине	willow
волк-машиной	willow
волк-машиною	willow
волк-машину	willow
волк-машины	willow
волка	wolf
волкам	wolves
волками	wolves
волках	wolves
волке	wolf
волки	wolves
волком	wolf
волку	wolf
волн	waves
волна	wave
волнам	waves
волнами	waves
волнах	waves
волне	wave
волнение	agitation
волнением	agitation
волнении	agitation
волнений	agitations
волнению	agitation
волнения	agitation
волнениям	agitations
волнениями	agitations
волнениях	agitations
волновать	agitate
волноваться	worry
волновой	wave
волной	wave
волною	wave
волну	wave
волнуй	agitate
волнуйся	worry
волнуйте	agitate
волнуйтесь	worry
волны	wave
волов	oxes
вологда	Vologda
волокна	fibre
волокнам	fibres
волокнами	fibres
волокнах	fibres
волокне	fibre
волокно	fibre
волокном	fibre
волокну	fibre
волокон	fibres
волом	ox
волонтер	volunteer
волонтера	volunteer
волонтерам	volunteers
волонтерами	volunteers
волонтерах	volunteers
волонтере	volunteer
волонтеров	volunteers
волонтером	volunteer
волонтеру	volunteer
волонтеры	volunteers
волос	hair
волоса	hair
волосам	hairs
волосами	hairs
волосах	hairs
волосе	hair
волоска	hairspring
волоскам	hairsprings
волосками	hairsprings
волосках	hairsprings
волоске	hairspring
волоски	hairsprings
волосков	hairsprings
волоском	hairspring
волоску	hairspring
волосок	hairspring
волосом	hair
волостей	volosts
волости	volost
волость	volost
волостью	volost
волостям	volosts
волостями	volosts
волостях	volosts
волосу	hair
волосы	hairs
волу	ox
волхв	soothsayer
волхва	soothsayer
волхвам	soothsayers
волхвами	soothsayers
волхвах	soothsayers
волхве	soothsayer
волхвов	soothsayers
волхвом	soothsayer
волхву	soothsayer
волчиц	she-wolf
волчица	she-wolf
волчицам	she-wolf
волчицами	she-wolf
волчицах	she-wolf
волчице	she-wolf
волчицей	she-wolf
волчицею	she-wolf
волчицу	she-wolf
волчицы	she-wolf
волшебен	magic
волшебна	magic
волшебная	magic
волшебник	magician
волшебника	magician
волшебникам	magicians
волшебниками	magicians
волшебниках	magicians
волшебнике	magician
волшебники	magicians
волшебников	magicians
волшебником	magician
волшебнику	magician
волшебниц	enchantresses
волшебница	enchantress
волшебницам	enchantresses
волшебницами	enchantresses
волшебницах	enchantresses
волшебнице	enchantress
волшебницей	enchantress
волшебницею	enchantress
волшебницу	enchantress
волшебницы	enchantress
волшебно	magic
волшебного	magic
волшебное	magic
волшебной	magic
волшебном	magic
волшебному	magic
волшебную	magic
волшебны	magic
волшебные	magic
волшебный	magic
волшебным	magic
волшебными	magic
волшебных	magic
волшебства	magic
волшебстве	magic
волшебство	magic
волшебством	magic
волшебству	magic
волы	oxes
волынить	procrastinate
волынь	procrastinate
волыньте	procrastinate
воль	wills
вольна	free
вольно	freely
вольного	free
вольное	free
вольном	free
вольному	free
вольны	free
вольный	free
вольфрам	tungsten
вольфрама	tungsten
вольфрамам	tungstens
вольфрамами	tungstens
вольфрамах	tungstens
вольфраме	tungsten
вольфрамов	tungstens
вольфрамом	tungsten
вольфраму	tungsten
вольфрамы	tungstens
волю	will
воля	will
волям	wills
волями	wills
волях	wills
воней	stinks
вони	stink
вонь	stink
вонью	stink
воняй	stink
воняйте	stink
воням	stinks
вонями	stinks
вонять	stink
вонях	stinks
воображаема	imaginary
воображаемая	imaginary
воображаемо	imaginary
воображаемого	imaginary
воображаемое	imaginary
воображаемой	imaginary
воображаемом	imaginary
воображаемому	imaginary
воображаемою	imaginary
воображаемую	imaginary
воображаемы	imaginary
воображаемые	imaginary
воображаемый	imaginary
воображаемым	imaginary
воображаемыми	imaginary
воображаемых	imaginary
воображение	imagination
воображением	imagination
воображении	imagination
воображений	imaginations
воображению	imagination
воображения	imagination
воображениям	imaginations
воображениями	imaginations
воображениях	imaginations
вообрази	imagine
вообразите	imagine
вообразить	imagine
вообще	in general
вообще-то	actually
воодушевление	enthusiasm
воодушевлением	enthusiasm
воодушевлении	enthusiasm
воодушевлений	enthusiasms
воодушевлению	enthusiasm
воодушевления	enthusiasm
воодушевлениям	enthusiasms
воодушевлениями	enthusiasms
воодушевлениях	enthusiasms
вооружен	armed
вооружение	arming
вооружением	arming
вооружении	arming
вооружений	armings
вооружению	arming
вооружения	arming
вооружениям	armings
вооружениями	armings
вооружениях	armings
вооруженна	armed
вооруженная	armed
вооруженно	armed
вооруженного	armed
вооруженное	armed
вооруженной	armed
вооруженном	armed
вооруженному	armed
вооруженною	armed
вооруженную	armed
вооруженны	armed
вооруженные	armed
вооруженный	armed
вооруженным	armed
вооруженными	armed
вооруженных	armed
воочию	firsthand
вопле	yell
воплей	yells
воплем	yell
вопли	yells
воплоти	incarnate
воплотите	incarnate
воплотить	incarnate
воплощай	incarnate
воплощайте	incarnate
воплощать	incarnate
воплощение	incarnation
воплощением	incarnation
воплощении	incarnation
воплощений	incarnations
воплощению	incarnation
воплощения	incarnation
воплощениям	incarnations
воплощениями	incarnations
воплощениях	incarnations
вопль	yell
вопля	yell
воплям	yells
воплями	yells
воплях	yells
вопреки	in spite of
вопрос	question
вопроса	question
вопросам	questions
вопросами	questions
вопросах	questions
вопросе	question
вопросов	questions
вопросом	question
вопросу	question
вопросы	questions
вор	thief
вора	thief
ворам	thieves
ворами	thieves
ворах	thieves
ворваться	burst in
ворвись	burst in
ворвитесь	burst in
воре	thief
воробей	sparrow
воробье	sparrow
воробьев	sparrows
воробьем	sparrow
воробьи	sparrows
воробью	sparrow
воробья	sparrow
воробьям	sparrows
воробьями	sparrows
воробьях	sparrows
воров	thieves
воровать	steal
воровства	stealing
воровстве	stealing
воровство	stealing
воровством	stealing
воровству	stealing
вором	thief
ворон	raven
ворона	raven
воронам	ravens
воронами	ravens
воронах	ravens
вороне	raven
воронов	ravens
вороном	raven
ворону	raven
вороны	ravens
ворот	gates
ворота	gate
воротам	gates
воротами	gates
воротах	gates
воротник	collar
воротника	collar
воротникам	collars
воротниками	collars
воротниках	collars
воротнике	collar
воротники	collars
воротников	collars
воротником	collar
воротнику	collar
вору	thief
воруй	steal
воруйте	steal
ворчать	grumble
ворчи	grumble
ворчите	grumble
воры	thieves
восемнадцать	eighteen
восемь	eight
восемьдесят	eighty
восемьсот	eight hundred
восемью	eight times
воск	wax
воска	wax
воске	wax
воскликни	exclaim
воскликните	exclaim
воскликнуть	exclaim
воском	wax
воскресение	resurrection
воскресением	resurrection
воскресении	resurrection
воскресений	Sundays
воскресению	resurrection
воскресения	resurrection
воскресениям	resurrections
воскресениями	resurrections
воскресениях	resurrections
воскресенье	Sunday
воскресеньем	Sunday
воскресенью	Sunday
воскресенья	Sunday
воскресеньям	Sundays
воскресеньями	Sundays
воскресеньях	Sundays
воскреси	raise from the dead
воскресите	raise from the dead
воскресить	raise from the dead
воскресни	rise again
воскресните	rise again
воскреснуть	rise again
воскрешение	resurrection
воскрешением	resurrection
воскрешении	resurrection
воскрешений	resurrections
воскрешению	resurrection
воскрешения	resurrection
воскрешениям	resurrections
воскрешениями	resurrections
воскрешениях	resurrections
воску	wax
воспаление	inflammation
воспалением	inflammation
воспалении	inflammation
воспалений	inflammations
воспалению	inflammation
воспаления	inflammation
воспалениям	inflammations
воспалениями	inflammations
воспалениях	inflammations
воспитай	raise
воспитайте	raise
воспитан	well brought up
воспитана	well brought up
воспитание	education
воспитанием	education
воспитании	education
воспитаний	educations
воспитанию	education
воспитания	education
воспитаниям	educations
воспитаниями	educations
воспитаниях	educations
воспитанная	well brought up
воспитанник	pupil
воспитанника	pupil
воспитанникам	pupils
воспитанниками	pupils
воспитанниках	pupils
воспитаннике	pupil
воспитанники	pupils
воспитанников	pupils
воспитанником	pupil
воспитаннику	pupil
воспитанного	well brought up
воспитанное	well brought up
воспитанной	well brought up
воспитанном	well brought up
воспитанному	well brought up
воспитанную	well brought up
воспитанные	well brought up
воспитанный	well brought up
воспитанным	well brought up
воспитанными	well brought up
воспитанных	well brought up
воспитано	well brought up
воспитаны	well brought up
воспитателе	kindergarten teacher
воспитателей	kindergarten teacher
воспитателем	kindergarten teacher
воспитателен	educational
воспитатели	kindergarten teacher
воспитатель	kindergarten teacher
воспитательна	educational
воспитательная	educational
воспитательно	educational
воспитательного	educational
воспитательное	educational
воспитательной	educational
воспитательном	educational
воспитательному	educational
воспитательною	educational
воспитательную	educational
воспитательны	educational
воспитательные	educational
воспитательный	educational
воспитательным	educational
воспитательными	educational
воспитательных	educational
воспитателю	kindergarten teacher
воспитателя	kindergarten teacher
воспитателям	kindergarten teacher
воспитателями	kindergarten teacher
воспитателях	kindergarten teacher
воспитать	raise
воспитывай	bring up
воспитывайся	be brought up
воспитывайте	bring up
воспитывайтесь	be brought up
воспитывать	bring up
воспитываться	be brought up
восполни	compensate
восполните	compensate
восполнить	compensate
воспользоваться	avail oneself
воспользуйся	avail oneself
воспользуйтесь	avail oneself
воспоминание	recollection
воспоминанием	recollection
воспоминании	recollection
воспоминаний	recollections
воспоминанию	recollection
воспоминания	recollection
воспоминаниям	recollections
воспоминаниями	recollections
воспоминаниях	recollections
воспрепятствовать	prevent
воспрепятствуй	prevent
воспрепятствуйте	prevent
восприми	take
воспримите	take
воспринимай	take
воспринимайте	take
воспринимать	take
воспринять	take
восприятие	perception
восприятием	perception
восприятии	perception
восприятий	perceptions
восприятию	perception
восприятия	perception
восприятиям	perceptions
восприятиями	perceptions
восприятиях	perceptions
воспроизведение	reproduction
воспроизведением	reproduction
воспроизведении	reproduction
воспроизведений	reproductions
воспроизведению	reproduction
воспроизведения	reproduction
воспроизведениям	reproductions
воспроизведениями	reproductions
воспроизведениях	reproductions
воспроизведи	reproduce
воспроизведите	reproduce
воспроизвести	reproduce
воспроизводи	reproduce
воспроизводите	reproduce
воспроизводить	reproduce
воспроизводств	reproductions
воспроизводства	reproduction
воспроизводствам	reproductions
воспроизводствами	reproductions
воспроизводствах	reproductions
воспроизводстве	reproduction
воспроизводство	reproduction
воспроизводством	reproduction
воспроизводству	reproduction
воссоединение	reunion
воссоединением	reunion
воссоединении	reunion
воссоединений	reunions
воссоединению	reunion
воссоединения	reunion
воссоединениям	reunions
воссоединениями	reunions
воссоединениях	reunions
воссоздай	re-create
воссоздайте	re-create
воссоздание	re-creation
воссоздать	re-create
восстанавливай	restore
восстанавливайся	rehabilitate oneself
восстанавливайте	restore
восстанавливайтесь	rehabilitate oneself
восстанавливать	restore
восстанавливаться	rehabilitate oneself
восстание	uprising
восстанием	uprising
восстании	uprising
восстаний	uprisings
восстанию	uprising
восстания	uprising
восстаниям	uprisings
восстаниями	uprisings
восстаниях	uprisings
восстанови	restore
восстановите	restore
восстановителен	restoration
восстановительна	restoration
восстановительная	restoration
восстановительно	restoration
восстановительного	restoration
восстановительное	restoration
восстановительной	restoration
восстановительном	restoration
восстановительному	restoration
восстановительною	restoration
восстановительную	restoration
восстановительны	restoration
восстановительные	restoration
восстановительный	restoration
восстановительным	restoration
восстановительными	restoration
восстановительных	restoration
восстановить	restore
восстановление	restoration
восстановлением	restoration
восстановлении	restoration
восстановлений	restorations
восстановлению	restoration
восстановления	restoration
восстановлениям	restorations
восстановлениями	restorations
восстановлениях	restorations
восстань	rise
восстаньте	rise
восстать	rise
восток	east
востока	east
востоке	east
востоковедение	oriental studies
востоковедением	oriental studies
востоковедении	oriental studies
востоковедений	oriental studies
востоковедению	oriental studies
востоковедения	oriental studies
востоковедениям	oriental studies
востоковедениями	oriental studies
востоковедениях	oriental studies
востоком	east
востоку	east
восторг	excitement
восторга	excitement
восторгам	excitements
восторгами	excitements
восторгах	excitements
восторге	excitement
восторги	excitements
восторгов	excitements
восторгом	excitement
восторгу	excitement
восторжен	enthusiastic
восторженна	enthusiastic
восторженная	enthusiastic
восторженно	enthusiastically
восторженного	enthusiastic
восторженное	enthusiastic
восторженной	enthusiastic
восторженном	enthusiastic
восторженному	enthusiastic
восторженною	enthusiastic
восторженную	enthusiastic
восторженны	enthusiastic
восторженные	enthusiastic
восторженный	enthusiastic
восторженным	enthusiastic
восторженными	enthusiastic
восторженных	enthusiastic
восточен	east
восточна	east
восточная	east
восточнее	more east
восточно	east
восточного	east
восточное	east
восточной	east
восточном	east
восточному	east
восточную	east
восточны	east
восточные	east
восточный	east
восточным	east
восточными	east
восточных	east
восхитителен	delightful
восхитительна	delightful
восхитительная	delightful
восхитительно	delightful
восхитительного	delightful
восхитительное	delightful
восхитительной	delightful
восхитительном	delightful
восхитительному	delightful
восхитительную	delightful
восхитительны	delightful
восхитительные	delightful
восхитительный	delightful
восхитительным	delightful
восхитительными	delightful
восхитительных	delightful
восхищайся	admire
восхищайтесь	admire
восхищаться	admire
восхищение	admiration
восхищением	admiration
восхищении	admiration
восхищений	admirations
восхищению	admiration
восхищения	admiration
восхищениям	admirations
восхищениями	admirations
восхищениях	admirations
восход	rising
восхода	rising
восходам	risings
восходами	risings
восходах	risings
восходе	rising
восходи	go back
восходите	go back
восходить	go back
восходов	risings
восходом	rising
восходу	rising
восходы	risings
восходящ	ascending
восходяща	ascending
восходящая	ascending
восходяще	ascending
восходящего	ascending
восходящее	ascending
восходящей	ascending
восходящем	ascending
восходящему	ascending
восходящею	ascending
восходящи	ascending
восходящие	ascending
восходящий	ascending
восходящим	ascending
восходящими	ascending
восходящих	ascending
восходящую	ascending
восхождение	ascent
восхождением	ascent
восхождении	ascent
восхождений	ascents
восхождению	ascent
восхождения	ascent
восхождениям	ascents
восхождениями	ascents
восхождениях	ascents
восьмая	eighth
восьмидесятая	eightieth
восьмидесятого	eightieth
восьмидесятое	eightieth
восьмидесятой	eightieth
восьмидесятом	eightieth
восьмидесятому	eightieth
восьмидесятою	eightieth
восьмидесятую	eightieth
восьмидесятые	eightieth
восьмидесятый	eightieth
восьмидесятым	eightieth
восьмидесятыми	eightieth
восьмидесятых	eightieth
восьмого	eighth
восьмое	eighth
восьмой	eighth
восьмом	eighth
восьмому	eighth
восьмую	eighth
вот-вот	just on the point
воюй	be at war
воюйте	be at war
воюющая	belligerent
воюющего	belligerent
воюющее	belligerent
воюющей	belligerent
воюющем	belligerent
воюющему	belligerent
воюющие	belligerent
воюющий	belligerent
воюющим	belligerent
воюющими	belligerent
воюющих	belligerent
воюющую	belligerent
вояж	journey
вояжа	journey
вояжам	journeys
вояжами	journeys
вояжах	journeys
вояже	journey
вояжей	journeys
вояжем	journey
вояжи	journeys
вояжу	journey
впадай	fall
впадайте	fall
впадать	fall
впади	fall
впадин	hollows
впадина	hollow
впадинам	hollows
впадинами	hollows
впадинах	hollows
впадине	hollow
впадиной	hollow
впадиною	hollow
впадину	hollow
впадины	hollow
впадите	fall
впасть	fall
впервые	for the first time
вперед	forward
впереди	in front
вперемешку	pell-mell
впечатление	impression
впечатлением	impression
впечатлении	impression
впечатлений	impressions
впечатлению	impression
впечатления	impression
впечатлениям	impressions
впечатлениями	impressions
впечатлениях	impressions
впечатляй	impress
впечатляйте	impress
впечатлять	impress
вписать	enter
вписаться	fit in with
вписывайся	join
вписывайтесь	join
вписываться	join
впиши	enter
впишись	fit in with
впишите	enter
впишитесь	fit in with
вплотную	close
вплоть	up to
вполне	quite
впору	just right
впоследствии	afterwards
вправду	really
вправо	to the right
впредь	henceforth
впрок	for future use
впрочем	however
впрямь	really
впусти	let in
впустите	let in
впустить	let in
впустую	for nothing
враг	enemy
врага	enemy
врагам	enemies
врагами	enemies
врагах	enemies
враге	enemy
враги	enemies
врагов	enemies
врагом	enemy
врагу	enemy
вражда	enmity
вражде	enmity
враждебен	hostile
враждебна	hostile
враждебная	hostile
враждебно	hostilely
враждебного	hostile
враждебное	hostile
враждебной	hostile
враждебном	hostile
враждебному	hostile
враждебностей	hostilities
враждебности	hostility
враждебность	hostility
враждебностью	hostility
враждебностям	hostilities
враждебностями	hostilities
враждебностях	hostilities
враждебную	hostile
враждебны	hostile
враждебные	hostile
враждебный	hostile
враждебным	hostile
враждебными	hostile
враждебных	hostile
враждой	enmity
враждою	enmity
вражду	enmity
вражды	enmity
вражеская	enemy
вражески	enemy
вражеские	enemy
вражеский	enemy
вражеским	enemy
вражескими	enemy
вражеских	enemy
вражеского	enemy
вражеское	enemy
вражеской	enemy
вражеском	enemy
вражескому	enemy
вражескою	enemy
вражескую	enemy
вразрез	counter to
вранье	fib
враньем	fib
вранью	fib
вранья	fib
врасплох	unawares
врат	gates
врата	gate
вратам	gates
вратами	gates
вратаре	goalkeeper
вратарей	goalkeepers
вратарем	goalkeeper
вратари	goalkeepers
вратарь	goalkeeper
вратарю	goalkeeper
вратаря	goalkeeper
вратарям	goalkeepers
вратарями	goalkeepers
вратарях	goalkeepers
вратах	gates
врать	lie
врач	physician
врача	physician
врачам	physicians
врачами	physicians
врачах	physicians
враче	physician
врачебен	medical
врачебна	medical
врачебная	medical
врачебно	medical
врачебного	medical
врачебное	medical
врачебной	medical
врачебном	medical
врачебному	medical
врачебною	medical
врачебную	medical
врачебны	medical
врачебные	medical
врачебный	medical
врачебным	medical
врачебными	medical
врачебных	medical
врачей	physicians
врачи	physicians
врачом	physician
врачу	physician
вращайся	revolve
вращайтесь	revolve
вращаться	revolve
вращение	rotation
вред	harm
вреда	harm
вредам	harms
вредами	harms
вредах	harms
вреде	harm
вреден	mean
вреди	injure
вредите	injure
вредителе	pest
вредителей	pests
вредителем	pest
вредители	pests
вредитель	pest
вредителю	pest
вредителя	pest
вредителям	pests
вредителями	pests
вредителях	pests
вредить	injure
вредна	mean
вредная	mean
вредно	harmful
вредного	mean
вредное	mean
вредной	mean
вредном	mean
вредному	mean
вредную	mean
вредны	mean
вредные	mean
вредный	mean
вредным	mean
вредными	mean
вредных	mean
вредов	harms
вредом	harm
вреду	harm
вреды	harms
времен	times
времена	times
временам	times
временами	times
временах	times
временем	time
временен	temporary
времени	time
временна	temporary
временно	temporarily
временны	temporary
временный	temporary
время	time
ври	lie
врите	lie
вроде	sort of
врозь	separately
вручай	hand
вручайте	hand
вручать	hand
